episode,seed,o_position,elapsed_base,official_reward,final_alive,final_dry
0,60000,"(1, 1)",700,14.900000734327847,3,0
1,60001,"(1, 1)",700,1034.620000796317,5,0
2,60002,"(1, 1)",700,1069.0300020694717,5,0
3,60003,"(1, 1)",700,-1065.9799999379652,1,0
4,60004,"(1, 1)",700,1066.2599992132175,5,0
