episode,seed,o_position,official_reward,checkpoint_reward,final_alive,final_dry,water_attempts,successful_waters,blocked_moves
0,10000,"(1, 1)",753.4200033998429,502.56000339984894,4,0,702,702,0
1,10001,"(1, 1)",131.98000048159935,281.12000048160553,3,0,702,702,0
2,10002,"(1, 1)",1313.1400021744107,668.7200021743774,5,1,794,794,0
3,10003,"(1, 1)",1284.060001382825,659.8000013828278,5,0,1082,1082,0
4,10004,"(1, 1)",1300.8199947309645,642.3999947309494,5,0,594,594,0
