episode,global_step,episode_kind,o_position,official_reward,shaping_reward,training_reward,checkpoint_reward,final_alive,final_dry,water_attempts,successful_waters,blocked_moves,epsilon
42,272500,full,"(1, 1)",1309.0299986076611,-197.71324759958284,1111.3167510080561,759.4599986076355,5,1,2149,2149,0,0.18250299999999997
43,282500,full,"(1, 1)",-1236.3300006388095,-102.8133050973342,-1339.1433057363106,-264.5800006389618,1,0,1025,1025,0,0.15250300000000006
44,285000,drill,"(1, 1)",1079.3800013732896,-75.25743533515472,1004.1225660381359,201.56000137329102,5,0,674,674,0,0.145003
45,295000,full,"(1, 1)",-630.4499996613592,-143.13292602823856,-773.5829256896859,-27.479999661445618,2,1,1471,1471,0,0.11500299999999997
46,305000,full,"(1, 1)",1230.2299984550523,-198.77090034578242,1031.4590981092563,752.6199984550476,5,0,3177,3177,0,0.09999999999999998
47,307500,drill,"(1, 1)",-548.1400001573044,-46.559826328752536,-594.6998264861091,-260.96000015735626,2,0,174,174,0,0.09999999999999998
48,317500,full,"(1, 1)",-1794.170000238224,-86.80034949039815,-1880.9703497287687,-436.0000002384186,0,0,831,831,0,0.09999999999999998
49,320000,drill,"(1, 1)",458.0800002813363,-64.99652897929775,393.08347130203674,3.0800002813339233,4,1,1000,1000,0,0.09999999999999998
50,322500,drill,"(1, 1)",528.3499998855583,-73.67168144034898,454.67831844520987,28.619999885559082,4,0,361,361,0,0.09999999999999998
51,325000,drill,"(1, 1)",1099.3399987363803,-74.94060803031442,1024.3993907060662,205.69999873638153,5,0,448,448,0,0.09999999999999998
52,335000,full,"(1, 1)",-1218.3000000808452,-73.43445225166855,-1291.7344523327379,-292.5400000810623,1,0,368,368,0,0.09999999999999998
53,337500,drill,"(1, 1)",1067.4900003099426,-76.16114829825884,991.3288520116847,172.80000030994415,5,1,433,433,0,0.09999999999999998
54,347500,full,"(1, 1)",-1782.37000061011,-59.989481799122274,-1842.3594824093373,-472.36000061035156,0,0,143,143,0,0.09999999999999998
55,350000,drill,"(1, 1)",-537.7500006627795,-50.9232482252096,-588.6732488880147,-245.18000066280365,2,0,251,251,0,0.09999999999999998
56,360000,full,"(1, 1)",-930.9400018167531,-184.90782372282126,-1115.8478255395762,105.27999818325043,1,0,1946,1946,0,0.09999999999999998
57,362500,drill,"(1, 1)",1095.4599988937364,-75.78361569118023,1019.6763832025564,199.1599988937378,5,0,410,410,0,0.09999999999999998
58,372500,full,"(1, 1)",-331.9800010871888,-187.4461524758155,-519.4261535630078,305.6399989128113,2,0,1966,1966,0,0.09999999999999998
59,375000,drill,"(1, 1)",-591.8400006341609,-46.8423645358064,-638.682365170001,-265.4600006341934,2,1,734,734,0,0.09999999999999998
60,377500,drill,"(1, 1)",1049.0200021362305,-75.72688286876209,973.2931192674667,150.76000213623047,5,0,382,382,0,0.09999999999999998
61,387500,full,"(1, 1)",-1822.7900009772934,-65.32530715918145,-1888.1153081365678,-479.6000009775162,0,0,617,617,0,0.09999999999999998
62,397500,full,"(1, 1)",-1775.8100004527391,-42.16425059604484,-1817.9742510488609,-471.4000004529953,0,0,63,63,0,0.09999999999999998
63,407500,full,"(1, 1)",-156.88999874582115,-129.66392960928854,-286.553928355199,78.56000125408173,3,1,1935,1935,0,0.09999999999999998
64,417500,full,"(1, 1)",-1143.5700017689537,-120.27326088260709,-1263.8432626516696,-158.52000176906586,1,0,1215,1215,0,0.09999999999999998
65,420000,drill,"(1, 1)",510.9100011157983,-73.53614616298248,437.3738549528159,9.08000111579895,4,1,331,331,0,0.09999999999999998
66,430000,full,"(1, 1)",1313.5800027227674,-197.51663324831014,1116.0633694744402,742.5200027227402,5,0,1842,1842,0,0.09999999999999998
67,432500,drill,"(1, 1)",-1051.890000510174,-39.4636621344074,-1091.3536626446219,-358.34000051021576,1,0,265,265,0,0.09999999999999998
68,442500,full,"(1, 1)",687.9999979305245,-188.32057192419072,499.6794260063391,496.91999793052673,4,0,1556,1556,0,0.09999999999999998
69,452500,full,"(1, 1)",-125.55000087729027,-132.25781971548977,-257.80782059286344,119.41999912261963,3,2,2071,2071,0,0.09999999999999998
70,462500,full,"(1, 1)",-73.56999762996796,-134.76200456522866,-208.33200219534106,135.14000236988068,3,0,1553,1553,0,0.09999999999999998
71,472500,full,"(1, 1)",-1238.3599988411293,-131.39914532231103,-1369.7591441636002,-293.8399988412857,1,0,636,636,0,0.09999999999999998
72,482500,full,"(1, 1)",-644.0699983356088,-97.41250395726355,-741.4825022931046,-99.61999833583832,2,0,635,635,0,0.09999999999999998
73,492500,full,"(1, 1)",676.5599997425044,-193.39003668306327,483.1699630594404,497.51999974250793,4,0,1728,1728,0,0.09999999999999998
74,495000,drill,"(1, 1)",472.4399990367888,-60.05406502723331,412.3859340095567,-29.74000096321106,4,1,326,326,0,0.09999999999999998
75,497500,drill,"(1, 1)",-1070.0699994945305,-45.87725923895665,-1115.947258733509,-388.2799994945526,1,0,97,97,0,0.09999999999999998
76,500000,drill,"(1, 1)",1098.1100013208375,-71.1843493080094,1026.9256520128286,208.74000132083893,5,0,509,509,0,0.09999999999999998
77,502500,drill,"(1, 1)",1064.790000352858,-74.4312126712754,990.3587876815843,177.3800003528595,5,0,537,537,0,0.09999999999999998
78,505000,drill,"(1, 1)",1086.039999766348,-73.34687604999085,1012.6931237163578,195.6199997663498,5,0,494,494,0,0.09999999999999998
79,515000,full,"(1, 1)",511.85999998092586,-163.41907718466297,348.44092279626875,316.0199999809265,4,1,1488,1488,0,0.09999999999999998
80,517500,drill,"(1, 1)",497.8599993133531,-60.73302149390812,437.12697781944723,-13.280000686645508,4,1,198,198,0,0.09999999999999998
81,520000,drill,"(1, 1)",1102.1099996471391,-70.12777375125432,1031.982225895885,197.6199996471405,5,0,293,293,0,0.09999999999999998
82,522500,drill,"(1, 1)",-561.290000562625,-45.34227007388878,-606.6322706365571,-261.16000056266785,2,0,359,359,0,0.09999999999999998
83,532500,full,"(1, 1)",1374.1000004244436,-197.34595568845856,1176.754044735942,771.6800004243851,5,0,1394,1394,0,0.09999999999999998
84,542500,full,"(1, 1)",1310.0599995422567,-195.64163644884167,1114.4183630934017,746.9799995422363,5,0,1956,1956,0,0.09999999999999998
85,552500,full,"(1, 1)",-674.3499992130013,-100.21073570822853,-774.5607349214491,-115.19999921321869,2,0,845,845,0,0.09999999999999998
86,555000,drill,"(1, 1)",1076.30000043392,-72.3843234872772,1003.9156769466437,169.9200004339218,5,0,266,266,0,0.09999999999999998
87,565000,full,"(1, 1)",681.4699976110395,-182.93371094987947,498.5362866611639,490.87999761104584,4,0,1563,1563,0,0.09999999999999998
88,575000,full,"(1, 1)",1379.7299960852351,-197.50039267061254,1182.2296034145663,737.4799960851669,5,1,825,825,0,0.09999999999999998
89,577500,drill,"(1, 1)",20.199999551772834,-63.222593515392475,-43.0225939636189,-84.78000044822693,3,0,286,286,0,0.09999999999999998
90,587500,full,"(1, 1)",1246.7700006389618,-197.30490268991474,1049.4650979490439,664.5800006389618,5,0,1683,1683,0,0.09999999999999998
91,590000,drill,"(1, 1)",-89.64999937057027,-56.93827951240218,-146.5882788829759,-168.65999937057495,3,2,657,657,0,0.09999999999999998
92,600000,full,"(1, 1)",-28.130000267019483,-146.0677205495711,-174.19772081659457,174.2799997329712,3,0,1463,1463,0,0.09999999999999998
93,610000,full,"(1, 1)",-791.8599989364924,-106.14926236151769,-898.0092612981734,-178.73999893665314,2,0,1616,1616,0,0.09999999999999998
94,620000,full,"(1, 1)",1338.8199980402296,-195.4559378537949,1143.3640601864104,719.1799980401993,5,0,1148,1148,0,0.09999999999999998
95,630000,full,"(1, 1)",-677.340000467188,-119.47425109671607,-796.8142515640141,-23.760000467300415,2,0,2194,2194,0,0.09999999999999998
96,640000,full,"(1, 1)",1233.460000090597,-192.97561542890625,1040.4843846616875,633.2800000905991,5,0,1426,1426,0,0.09999999999999998
97,642500,drill,"(1, 1)",-561.8000004863748,-59.72092107915532,-621.5209215655286,-265.2400004863739,2,0,308,308,0,0.09999999999999998
98,645000,drill,"(1, 1)",1100.9799990606293,-75.72419184875017,1025.2558072118793,195.8599990606308,5,0,284,284,0,0.09999999999999998
99,647500,drill,"(1, 1)",1024.7799998283376,-74.9435375375702,949.8364622907665,129.17999982833862,5,1,420,420,0,0.09999999999999998
100,650000,drill,"(1, 1)",1005.7399984645841,-73.9877297821,931.7522686824825,113.35999846458435,5,1,466,466,0,0.09999999999999998
101,660000,full,"(1, 1)",1240.5599974012318,-195.7149983539398,1044.8449990472936,629.5999974012375,5,0,1272,1272,0,0.09999999999999998
102,670000,full,"(1, 1)",-3.139999570851842,-144.93210553454048,-148.0721051053819,173.30000042915344,3,0,1092,1092,0,0.09999999999999998
103,672500,drill,"(1, 1)",1004.930002250671,-70.98900919532329,933.940993055347,122.14000225067139,5,1,603,603,0,0.09999999999999998
104,675000,drill,"(1, 1)",1097.1599992799747,-75.70647529220122,1021.4535239877738,192.8799992799759,5,0,296,296,0,0.09999999999999998
105,685000,full,"(1, 1)",497.2800018835052,-162.79165774057788,334.48834414293344,299.9000018835068,4,1,1466,1466,0,0.09999999999999998
106,687500,drill,"(1, 1)",1032.8799989986421,-69.51650853442706,963.3634904642136,139.79999899864197,5,0,456,456,0,0.09999999999999998
107,697500,full,"(1, 1)",-1146.429999513507,-127.12393487261588,-1273.55393438624,-202.2599995136261,1,0,631,631,0,0.09999999999999998
108,700000,drill,"(1, 1)",494.41999882698116,-61.92438134669898,432.4956174802828,1.4799988269805908,4,1,458,458,0,0.09999999999999998
109,702500,drill,"(1, 1)",1088.0099994134891,-73.98251522063765,1014.0274841928523,183.2399994134903,5,0,289,289,0,0.09999999999999998
110,712500,full,"(1, 1)",136.20999910354493,-186.82031678102527,-50.61031767747215,375.43999910354614,3,1,1989,1989,0,0.09999999999999998
111,715000,drill,"(1, 1)",-17.199999880791353,-56.907061938282666,-74.10706181907224,-116.99999988079071,3,0,360,360,0,0.09999999999999998
112,717500,drill,"(1, 1)",-20.300000457762962,-56.17430206775361,-76.47430252551632,-103.02000045776367,3,0,604,604,0,0.09999999999999998
113,720000,drill,"(1, 1)",1108.469999179839,-73.1807071952774,1035.2892919845613,206.3599991798401,5,0,327,327,0,0.09999999999999998
114,722500,drill,"(1, 1)",1076.3199996089925,-69.78938595008401,1006.5306136589088,187.15999960899353,5,0,512,512,0,0.09999999999999998
115,725000,drill,"(1, 1)",-26.49999989986418,-62.35588132094972,-88.85588122081316,-120.9799998998642,3,0,436,436,0,0.09999999999999998
116,735000,full,"(1, 1)",1344.9799994755267,-196.86170701025077,1148.1182924652405,716.7999994754791,5,0,1026,1026,0,0.09999999999999998
117,745000,full,"(1, 1)",-71.41000130175192,-156.50721082018475,-227.91721212194633,192.73999869823456,3,0,2345,2345,0,0.09999999999999998
118,755000,full,"(1, 1)",696.3399970722132,-193.83233415983332,502.5076629123828,477.81999707221985,4,0,1164,1164,0,0.09999999999999998
119,765000,full,"(1, 1)",-28.19000024319007,-150.8044218377932,-178.99442208097398,169.87999975681305,3,0,1401,1401,0,0.09999999999999998
120,775000,full,"(1, 1)",634.6599993181192,-191.08235282609985,443.57764649202045,465.83999931812286,4,1,1874,1874,0,0.09999999999999998
121,785000,full,"(1, 1)",-66.100000295598,-137.5131814594162,-203.61318175504752,169.55999970436096,3,0,1938,1938,0,0.09999999999999998
122,795000,full,"(1, 1)",1327.2000007343784,-196.2267433347515,1130.9732573995886,704.4800007343292,5,0,1104,1104,0,0.09999999999999998
123,805000,full,"(1, 1)",35.55999919414211,-138.72459767245144,-103.1645984782991,218.7199991941452,3,0,1188,1188,0,0.09999999999999998
124,815000,full,"(1, 1)",1318.4600002765885,-197.8096393756685,1120.6503609009062,698.9600002765656,5,0,1150,1150,0,0.09999999999999998
125,817500,drill,"(1, 1)",1043.1800005960458,-74.1324167575793,969.0475838384651,137.50000059604645,5,0,276,276,0,0.09999999999999998
126,820000,drill,"(1, 1)",1030.5499985504148,-72.25243451308768,958.2975640373262,135.01999855041504,5,1,421,421,0,0.09999999999999998
127,822500,drill,"(1, 1)",1082.5099965620027,-72.83094103622,1009.6790555257835,186.9799965620041,5,0,421,421,0,0.09999999999999998
128,825000,drill,"(1, 1)",1050.7000004672993,-72.32173717975144,978.3782632875485,143.76000046730042,5,2,258,258,0,0.09999999999999998
129,835000,full,"(1, 1)",1192.2899963045054,-194.84549125860332,997.4445050459057,551.999996304512,5,0,853,853,0,0.09999999999999998
130,837500,drill,"(1, 1)",1062.4700002956376,-70.83131985282428,991.6386804428139,152.94000029563904,5,3,221,221,0,0.09999999999999998
131,847500,full,"(1, 1)",-64.33000283241574,-174.7467144584494,-239.0767172908614,145.21999716758728,3,1,1565,1565,0,0.09999999999999998
132,857500,full,"(1, 1)",1362.1599985933913,-197.6650535182776,1164.4949450750664,724.5999985933304,5,0,892,892,0,0.09999999999999998
133,860000,drill,"(1, 1)",1005.0900006341935,-71.55317172145402,933.5368289127377,100.46000063419342,5,1,291,291,0,0.09999999999999998
134,862500,drill,"(1, 1)",-576.0599999236863,-52.39048407077535,-628.4504839944814,-261.57999992370605,2,1,564,564,0,0.09999999999999998
135,865000,drill,"(1, 1)",-1.0200002384196978,-55.04801847743694,-56.06801871585429,-106.00000023841858,3,0,286,286,0,0.09999999999999998
136,875000,full,"(1, 1)",134.22000061034475,-170.4668381795727,-36.24683756921874,279.86000061035156,3,0,652,652,0,0.09999999999999998
137,877500,drill,"(1, 1)",-26.700000200272314,-56.71643272494974,-83.4164329252205,-128.0400002002716,3,0,338,338,0,0.09999999999999998
138,880000,drill,"(1, 1)",1089.9400002288805,-70.94030230521686,1018.9996979236643,187.76000022888184,5,0,326,326,0,0.09999999999999998
139,890000,full,"(1, 1)",43.09999969481672,-141.13286945341807,-98.0328697585874,198.81999969482422,3,0,796,796,0,0.09999999999999998
140,892500,drill,"(1, 1)",4.410001168250403,-61.74585954761159,-57.33585837935905,-95.59999883174896,3,0,357,357,0,0.09999999999999998
141,902500,full,"(1, 1)",1299.219999570866,-195.54551786230155,1103.6744817085519,684.1999995708466,5,0,1214,1214,0,0.09999999999999998
142,905000,drill,"(1, 1)",549.959999966621,-69.40344186687054,480.55655809975065,36.1599999666214,4,0,160,160,0,0.09999999999999998
143,907500,drill,"(1, 1)",1025.5400008726112,-74.04168374347236,951.498317129139,128.960000872612,5,0,406,406,0,0.09999999999999998
144,917500,full,"(1, 1)",-1200.8899994514054,-68.21266075038527,-1269.1026602020297,-261.19999945163727,1,0,567,567,0,0.09999999999999998
145,920000,drill,"(1, 1)",512.6700002765647,-73.81982399558586,438.8501762809796,1.4600002765655518,4,0,197,197,0,0.09999999999999998
146,922500,drill,"(1, 1)",507.1499985837936,-68.14882238769152,439.00117619610296,13.85999858379364,4,0,453,453,0,0.09999999999999998
147,925000,drill,"(1, 1)",1035.9699997663488,-75.72742064094078,960.242579125407,128.1199997663498,5,0,245,245,0,0.09999999999999998
148,927500,drill,"(1, 1)",-544.9799999952008,-45.0109687666872,-589.9909687619202,-225.87999999523163,2,0,630,630,0,0.09999999999999998
149,930000,drill,"(1, 1)",460.4000002717961,-67.19151622199641,393.2084840498012,-30.15999972820282,4,0,492,492,0,0.09999999999999998
150,940000,full,"(1, 1)",-1262.8300015972436,-96.38104206251361,-1359.2110436599141,-267.7000015974045,1,1,1359,1359,0,0.09999999999999998
151,950000,full,"(1, 1)",58.79999877452201,-150.94507298563587,-92.14507421110389,211.1599987745285,3,0,748,748,0,0.09999999999999998
152,952500,drill,"(1, 1)",1067.1700000905983,-73.96612097930453,993.2038791112944,150.78000009059906,5,0,123,123,0,0.09999999999999998
153,955000,drill,"(1, 1)",-542.4700004529958,-60.764069003101575,-603.2340694560976,-246.4000004529953,2,0,301,301,0,0.09999999999999998
154,965000,full,"(1, 1)",-454.96000127314403,-166.7721136760556,-621.7321149492127,174.9599987268448,2,0,1856,1856,0,0.09999999999999998
155,975000,full,"(1, 1)",517.4000013875999,-162.47823510359217,354.92176628400864,373.92000138759613,4,1,2236,2236,0,0.09999999999999998
156,985000,full,"(1, 1)",468.4400012588462,-164.62280806158466,303.81719319726955,247.6800012588501,4,0,1132,1132,0,0.09999999999999998
157,987500,drill,"(1, 1)",970.0499994993191,-75.25178376483461,894.7982157344863,87.39999949932098,5,1,605,605,0,0.09999999999999998
158,997500,full,"(1, 1)",1280.3600019168975,-195.28011551378356,1085.07988640311,673.7400019168854,5,0,1334,1334,0,0.09999999999999998
