step,trained_cost,trained_audits,periodic_cost,periodic_audits,recent_caught_rate,epsilon
20000,5.1124999999999945,0.9583333333333334,20.738333333333433,6.166666666666667,0.9888268156424581,0.62
40000,4.906249999999993,1.2083333333333333,20.738333333333433,6.166666666666667,0.9714285714285714,0.24
60000,5.594583333333323,1.2083333333333333,20.738333333333433,6.166666666666667,1.0,0.05
