episode,global_step,o_position,injected_deaths,official_reward,shaping_reward,training_reward,checkpoint_reward,final_alive,final_dry,handoffs,water_attempts,successful_waters,blocked_moves,epsilon
38,390000,"(1, 1)",2,-1112.750001077512,-53.54756325602156,-1166.2975643336738,-156.12000107765198,1,0,9,809,809,0,0.09999999999999998
39,400000,"(1, 1)",0,-763.4799990079719,-92.42189339398448,-855.9018924021647,-208.0399990081787,2,1,8,792,792,0,0.09999999999999998
40,410000,"(1, 1)",2,-1075.0700002239794,-47.6487046723307,-1122.7187048964438,-91.14000022411346,1,0,15,1199,1199,0,0.09999999999999998
41,420000,"(1, 1)",0,-1331.8599993847465,-70.71396018385603,-1402.573959568786,-291.01999938488007,1,1,11,2012,2012,0,0.09999999999999998
42,430000,"(1, 1)",0,-1253.6699997900105,-56.18226733970532,-1309.8522671299409,-246.21999979019165,1,0,13,1535,1535,0,0.09999999999999998
43,440000,"(1, 1)",0,60.780000109667895,-109.09170063590054,-48.311700526219425,224.76000010967255,3,0,8,914,914,0,0.09999999999999998
44,450000,"(1, 1)",0,-1353.8099998377033,-87.64645278810676,-1441.4564526259896,-374.91999983787537,1,0,11,1127,1127,0,0.09999999999999998
45,460000,"(1, 1)",2,-533.850001029909,-72.44576635359954,-606.2957673835689,67.57999897003174,2,1,10,1449,1449,0,0.09999999999999998
46,470000,"(1, 1)",0,-1265.7600002716358,-90.97421957539648,-1356.7342198471886,-284.8400002717972,1,0,8,1156,1156,0,0.09999999999999998
47,480000,"(1, 1)",0,-1787.1500011775897,-67.49315796732489,-1854.643159145022,-435.1400011777878,0,0,5,743,743,0,0.09999999999999998
48,490000,"(1, 1)",1,-221.6300003528161,-112.67245351218028,-334.30245386503316,37.6199996471405,3,0,7,2275,2275,0,0.09999999999999998
49,500000,"(1, 1)",2,-576.5300001667617,-70.059749544136,-646.5897497110313,-1.7000001668930054,2,0,9,1069,1069,0,0.09999999999999998
50,510000,"(1, 1)",2,-1048.929999351284,-44.96643604897997,-1093.8964354004802,-129.67999935150146,1,0,10,275,275,0,0.09999999999999998
51,520000,"(1, 1)",0,-26.600000920295685,-130.3104578847748,-156.9104588050649,202.33999907970428,3,0,8,1842,1842,0,0.09999999999999998
52,530000,"(1, 1)",0,-733.6300004671127,-98.02614860915216,-831.6561490764549,-153.76000046730042,2,0,5,1141,1141,0,0.09999999999999998
53,540000,"(1, 1)",0,-754.4600012157598,-101.96707259701768,-856.427073812952,-170.60000121593475,2,0,8,1198,1198,0,0.09999999999999998
54,550000,"(1, 1)",1,-29.010000724746845,-99.7148584489735,-128.72485917375772,113.75999927520752,3,0,8,611,611,0,0.09999999999999998
55,560000,"(1, 1)",2,-1588.3700001381617,-41.183198281760696,-1629.553198419926,-244.48000013828278,0,0,8,627,627,0,0.09999999999999998
56,570000,"(1, 1)",0,-1843.3099995086886,-67.79874798774158,-1911.1087474965227,-460.6399995088577,0,0,8,1181,1181,0,0.09999999999999998
57,580000,"(1, 1)",1,-551.549998626618,-86.32022865103839,-637.870227277748,16.560001373291016,2,1,7,973,973,0,0.09999999999999998
58,590000,"(1, 1)",0,7.209997239107253,-103.83793467043921,-96.62793743131672,162.01999723911285,3,0,9,783,783,0,0.09999999999999998
59,600000,"(1, 1)",0,-257.4800009106182,-116.37101884173234,-373.85101975248256,-51.92000091075897,3,0,7,1508,1508,0,0.09999999999999998
60,610000,"(1, 1)",0,-1244.3099991081622,-105.12638956831863,-1349.4363886766284,-262.0599991083145,1,0,10,1175,1175,0,0.09999999999999998
61,620000,"(1, 1)",1,-30.940001311309203,-106.89269911574432,-137.8327004270382,106.99999868869781,3,0,6,542,542,0,0.09999999999999998
62,630000,"(1, 1)",2,-1088.8699994228377,-49.18126906966769,-1138.051268492693,-158.97999942302704,1,0,8,427,427,0,0.09999999999999998
63,640000,"(1, 1)",0,-1230.119998249813,-74.53413126754046,-1304.6541295175452,-285.45999825000763,1,0,11,638,638,0,0.09999999999999998
64,650000,"(1, 1)",2,-1022.7800008963825,-81.77134003352435,-1104.5513409299733,-102.06000089645386,1,0,6,296,296,0,0.09999999999999998
65,660000,"(1, 1)",2,-1602.3699987266434,-50.578309182163196,-1652.9483079089778,-252.4599987268448,0,0,5,713,713,0,0.09999999999999998
66,670000,"(1, 1)",1,-1148.0899995086388,-51.41127729248578,-1199.501276801341,-228.13999950885773,1,0,11,285,285,0,0.09999999999999998
67,680000,"(1, 1)",1,-1174.3099998424534,-56.85832735490328,-1231.1683271975512,-249.03999984264374,1,0,16,361,361,0,0.09999999999999998
68,690000,"(1, 1)",0,-1249.4700023124492,-70.46770913505112,-1319.937711447723,-303.2000023126602,1,0,7,661,661,0,0.09999999999999998
69,700000,"(1, 1)",1,-1156.4300006053768,-50.84439230298571,-1207.2743929085655,-213.2400006055832,1,0,12,617,617,0,0.09999999999999998
70,710000,"(1, 1)",1,-1111.3900004575498,-52.129890206094046,-1163.5198906638568,-198.02000045776367,1,0,10,191,191,0,0.09999999999999998
71,720000,"(1, 1)",1,-32.85999928951912,-89.63029145859761,-122.49029074810144,128.88000071048737,3,2,14,882,882,0,0.09999999999999998
72,730000,"(1, 1)",2,-982.5000009916284,-42.198675186868286,-1024.698676178687,-49.46000099182129,1,0,8,472,472,0,0.09999999999999998
73,740000,"(1, 1)",1,-1130.409999012746,-58.56163986491646,-1188.9716388778602,-197.15999901294708,1,0,7,475,475,0,0.09999999999999998
74,750000,"(1, 1)",1,-1598.1000002144299,-48.169940486187784,-1646.269940700613,-272.9000002145767,0,0,7,360,360,0,0.09999999999999998
75,760000,"(1, 1)",1,-571.8499989555836,-85.68322369193118,-657.5332226476602,-15.219998955726624,2,0,7,809,809,0,0.09999999999999998
76,770000,"(1, 1)",1,-1188.5500003145112,-59.61882476853812,-1248.1688250832467,-266.9200003147125,1,0,10,309,309,0,0.09999999999999998
77,780000,"(1, 1)",0,-54.64000033848836,-107.14413621329382,-161.78413655183832,84.97999966144562,3,0,8,566,566,0,0.09999999999999998
78,790000,"(1, 1)",0,-1297.9699998519432,-64.67581286453832,-1362.6458127167243,-354.7799998521805,1,1,4,617,617,0,0.09999999999999998
79,800000,"(1, 1)",0,-1176.7700000665668,-83.20176848220028,-1259.9717685489668,-190.1800000667572,1,0,7,1237,1237,0,0.09999999999999998
80,810000,"(1, 1)",2,-1071.0599989411908,-46.53979913234338,-1117.5997980737634,-152.8599989414215,1,0,7,260,260,0,0.09999999999999998
81,820000,"(1, 1)",0,-1219.7800007246233,-94.66291975974073,-1314.4429204845355,-276.2400007247925,1,0,9,622,622,0,0.09999999999999998
82,830000,"(1, 1)",0,-1235.1600001523752,-82.3546916749401,-1317.5146918275277,-284.3400001525879,1,0,5,726,726,0,0.09999999999999998
83,840000,"(1, 1)",0,-1264.8399999139697,-55.31183436011948,-1320.1518342743022,-315.8399999141693,1,0,10,700,700,0,0.09999999999999998
84,850000,"(1, 1)",0,-1242.0899992511274,-66.35159414600703,-1308.441593397377,-310.65999925136566,1,0,12,449,449,0,0.09999999999999998
85,860000,"(1, 1)",0,-42.21000138277387,-95.84384170245286,-138.05384308527127,107.69999861717224,3,0,11,713,713,0,0.09999999999999998
86,870000,"(1, 1)",2,-1558.0999989794059,-41.66540338277356,-1599.7654023623163,-198.31999897956848,0,0,10,854,854,0,0.09999999999999998
87,880000,"(1, 1)",2,-534.9700012492262,-70.36626605557663,-605.3362673048924,23.059998750686646,2,0,8,829,829,0,0.09999999999999998
88,890000,"(1, 1)",0,-1254.0300000856796,-85.9959844450871,-1340.0259845309351,-274.1600000858307,1,0,9,1141,1141,0,0.09999999999999998
89,900000,"(1, 1)",0,-1248.4399990556276,-67.42950524162794,-1315.8695042974923,-326.7399990558624,1,0,4,310,310,0,0.09999999999999998
90,910000,"(1, 1)",0,-641.8399989841887,-86.1239750738051,-727.9639740581441,-42.43999898433685,2,1,10,1420,1420,0,0.09999999999999998
91,920000,"(1, 1)",2,-1017.950000462331,-39.293786543365414,-1057.2437870058952,-112.14000046253204,1,0,11,83,83,0,0.09999999999999998
92,930000,"(1, 1)",0,25.199999732967257,-118.73467515563037,-93.53467542265068,166.7799997329712,3,0,5,594,594,0,0.09999999999999998
93,940000,"(1, 1)",1,-1190.530000724586,-47.31281505608236,-1237.842815780891,-231.24000072479248,1,0,12,847,847,0,0.09999999999999998
94,950000,"(1, 1)",1,321.20000178814496,-136.54625267885694,184.65374910928745,115.00000178813934,4,0,7,1340,1340,0,0.09999999999999998
95,960000,"(1, 1)",0,-48.03999865039955,-110.07647690676683,-158.11647555730835,100.96000134944916,3,0,9,700,700,0,0.09999999999999998
96,970000,"(1, 1)",1,-1152.8899994657163,-53.44673608755794,-1206.3367355535097,-206.05999946594238,1,0,6,669,669,0,0.09999999999999998
97,980000,"(1, 1)",0,-1165.7899991939391,-80.90186533855537,-1246.6918645327046,-223.7199991941452,1,0,8,601,601,0,0.09999999999999998
98,990000,"(1, 1)",2,-1069.8400006483084,-48.94532877087245,-1118.7853294193696,-125.32000064849854,1,0,11,636,636,0,0.09999999999999998
99,1000000,"(1, 1)",2,-1013.5799995420628,-53.379310705418554,-1066.9593102476529,-86.97999954223633,1,0,8,380,380,0,0.09999999999999998
